UserID,PasswordHash,Timestamp,Success,DeviceType,OperatingSystem,Browser,Location,AuthMethod,OTP,BiometricPattern,Hour,DayOfWeek,Anomaly
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-09-07 18:03:31,1,1,2,2,Ryanland,1,535238.0,,18,5,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-09-02 00:40:32,1,0,1,1,South Jon,1,535238.0,,0,0,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-09-03 19:59:41,1,0,3,2,Port Robert,2,,,19,1,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-04-13 05:51:11,1,2,0,1,East Stevenstad,1,535238.0,,5,5,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-06-27 09:00:50,1,2,4,1,South Angela,2,,,9,3,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-02-19 13:27:16,0,0,1,2,Lake Margaret,2,,,13,0,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-06-13 15:45:09,1,2,0,1,Lake Seanside,2,,,15,3,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-08-06 02:51:14,1,1,0,1,East Dianatown,2,,,2,1,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-01-24 04:24:53,0,2,3,3,Jimenezmouth,2,,,4,2,0
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-05-03 01:38:44,1,1,4,0,Johnton,1,535238.0,,1,4,0
