UserID,PasswordHash,Timestamp,Success,DeviceType,OperatingSystem,Browser,Location,AuthMethod,OTP,BiometricPattern
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-09-07 18:03:31,True,Mobile,Windows,Firefox,Ryanland,OTP,535238,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-09-02 00:40:32,True,Desktop,Linux,Edge,South Jon,OTP,535238,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-09-03 19:59:41,True,Desktop,iOS,Firefox,Port Robert,Password,,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-04-13 05:51:11,True,Tablet,Android,Edge,East Stevenstad,OTP,535238,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-06-27 09:00:50,True,Tablet,macOS,Edge,South Angela,Password,,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-02-19 13:27:16,False,Desktop,Linux,Firefox,Lake Margaret,Password,,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-06-13 15:45:09,True,Tablet,Android,Edge,Lake Seanside,Password,,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-08-06 02:51:14,True,Mobile,Android,Edge,East Dianatown,Password,,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-01-24 04:24:53,False,Tablet,iOS,Safari,Jimenezmouth,Password,,
scottchristina,$2b$12$qV6681yZhcHNDsCPLKVv2eJpIk6sVw72YIGp/PBc7xfmoAQKUag3.,2024-05-03 01:38:44,True,Mobile,macOS,Chrome,Johnton,OTP,535238,
dillontamara,$2b$12$08TWrQJv6NIiiEFZHQPI9usaOJBhPzZq/v9nNjeN7CjsxcJwF8voK,2024-09-12 13:21:55,True,Mobile,Linux,Edge,Greenview,OTP,535238,
